MD_EARN_WNE_P10,STUFACR,STUFACR,C150_4,ADM_RATE,MD_EARN_WNE_P10
38560.0,9.0,9.0,,,38560.0
42836.0,8.0,8.0,0.5938,0.9211,42836.0
55966.0,12.0,12.0,0.3904,0.5963,55966.0
38518.0,15.0,15.0,0.3471,0.8497,38518.0
49006.0,18.0,18.0,0.5209,0.8011,49006.0
31683.0,7.0,7.0,,,31683.0
37195.0,18.0,18.0,0.5117,,37195.0
41939.0,29.0,29.0,0.3472,,41939.0
41544.0,15.0,15.0,0.6667,0.8889,41544.0
38203.0,17.0,17.0,0.4493,,38203.0
40596.0,10.0,10.0,0.4857,0.7931,40596.0
58308.0,29.0,29.0,0.7558,0.4104,58308.0
36349.0,15.0,15.0,,,36349.0
37378.0,18.0,18.0,0.5169,,37378.0
36853.0,20.0,20.0,,,36853.0
37096.0,16.0,16.0,0.4935,,37096.0
34421.0,14.0,14.0,0.087,,34421.0
51819.0,11.0,11.0,0.6754,0.6509,51819.0
43421.0,27.0,27.0,0.4095,,43421.0
34782.0,17.0,17.0,0.303,0.8354,34782.0
84131.0,18.0,18.0,0.6348,0.6453,84131.0
44349.0,14.0,14.0,0.6041,0.3293,44349.0
